settlement,teaor,bin,count,generated_count,diff
Albertirsa,90,1-4,11,14,3
Albertirsa,93,1-4,5,6,1
Albertirsa,95,1-4,12,15,3
Albertirsa,96,1-4,80,99,19
Alcsútdoboz,43,1-4,18,22,4
Alcsútdoboz,47,1-4,6,8,2
Alcsútdoboz,74,1-4,5,6,1
Alcsútdoboz,85,1-4,5,6,1
Alcsútdoboz,86,1-4,5,6,1
Alcsútdoboz,96,1-4,5,6,1
Aldebrõ,1,1-4,22,27,5
Aldebrõ,43,1-4,7,9,2
Algyõ,1,1-4,63,78,15
Algyõ,41,1-4,9,11,2
Algyõ,43,1-4,60,75,15
Algyõ,43,5-9,8,10,2
Algyõ,45,1-4,18,22,4
Algyõ,46,1-4,12,15,3
Algyõ,47,1-4,25,31,6
Algyõ,49,1-4,15,19,4
Algyõ,56,1-4,11,14,3
Algyõ,62,1-4,9,11,2
Algyõ,66,1-4,13,16,3
Algyõ,69,1-4,12,15,3
Algyõ,70,1-4,12,15,3
Algyõ,74,1-4,14,17,3
Algyõ,81,1-4,15,19,4
Algyõ,82,1-4,14,17,3
Algyõ,85,1-4,21,26,5
Algyõ,86,1-4,18,22,4
Algyõ,90,1-4,8,10,2
Algyõ,93,1-4,7,9,2
Algyõ,96,1-4,30,37,7
Almamellék,1,1-4,5,6,1
Almásfüzitõ,43,1-4,6,8,2
Almásfüzitõ,47,1-4,6,8,2
Almásfüzitõ,85,1-4,7,9,2
Almásfüzitõ,96,1-4,8,10,2
Almáskamarás,1,1-4,29,36,7
Almáskeresztúr,25,1-4,15,19,4
Alsóberecki,1,1-4,5,6,1
Alsónyék,1,1-4,9,11,2
Alsónyék,43,1-4,5,6,1
Alsónyék,47,1-4,7,9,2
Alsónyék,49,1-4,5,6,1
Alsónána,43,1-4,5,6,1
Alsónémedi,1,1-4,185,230,45
Alsónémedi,1,5-9,5,6,1
Alsónémedi,33,1-4,8,10,2
Alsónémedi,41,1-4,12,15,3
Alsónémedi,43,1-4,55,68,13
Alsónémedi,45,1-4,26,32,6
Alsónémedi,45,5-9,8,10,2
Alsónémedi,46,1-4,24,30,6
Alsónémedi,46,5-9,7,9,2
Alsónémedi,47,1-4,40,50,10
Alsónémedi,47,5-9,6,8,2
Alsónémedi,49,1-4,48,60,12
Alsónémedi,49,5-9,8,10,2
Alsónémedi,52,1-4,9,11,2
Alsónémedi,53,1-4,10,12,2
Alsónémedi,56,1-4,15,19,4
Alsónémedi,62,1-4,7,9,2
Alsónémedi,63,1-4,5,6,1
Alsónémedi,66,1-4,7,9,2
Alsónémedi,68,1-4,21,26,5
Alsónémedi,69,1-4,19,24,5
Alsónémedi,70,1-4,9,11,2
Alsónémedi,74,1-4,8,10,2
Alsónémedi,81,1-4,13,16,3
Alsónémedi,82,1-4,12,15,3
Alsónémedi,85,1-4,21,26,5
Alsónémedi,86,1-4,13,16,3
Alsónémedi,90,1-4,10,12,2
Alsónémedi,93,1-4,6,8,2
Alsónémedi,95,1-4,8,10,2
Alsónémedi,96,1-4,42,52,10
Alsónémedi,97,1-4,8,10,2
Alsópáhok,1,1-4,14,17,3
Alsóregmec,16,1-4,7,9,2
Alsóregmec,18,1-4,6,8,2
Alsóregmec,28,1-4,5,6,1
