teaor_kulcs,teaor_foag,foag_megnevezes,teaor_alag,teaor_megnevezes,company_count_total,company_count_1_4,company_count_5_9,company_count_10_19,company_count_20_49,company_count_50_249,company_count_250_plus,ksh_worker_total,target_avg_size_ksh,census_worker_total_main,ksh_worker_total_main,census_ksh_ratio_main,census_pct_main,ksh_pct_main,adjusted_worker_target_from_census_ratio,target_avg_size_adjusted
M_75,M,"Szakmai, tudományos, műszaki tevékenység",75,Állat-egészségügyi ellátás,835,824,11,0,0,0,0,3277,3.924550898203593,233901.0,219677.0,0.939187947037422,0.0495693692700894,0.0564006844786883,3489.1844708367275,4.178664036930213
N_77,N,Adminisztratív és szolgáltatást támogató tevékenység,77,"Kölcsönzés, operatív lízing",3443,3368,56,14,5,0,0,9978,2.898054022654662,240007.0,238928.0,0.995504297791314,0.0508633807055393,0.0613432573329208,10023.060696109293,2.9111416485940436
N_78,N,Adminisztratív és szolgáltatást támogató tevékenység,78,Munkaerőpiaci szolgáltatás,527,373,31,12,40,55,16,72448,137.47248576850095,240007.0,238928.0,0.995504297791314,0.0508633807055393,0.0613432573329208,72775.17551731068,138.0933121770601
N_79,N,Adminisztratív és szolgáltatást támogató tevékenység,79,"Utazásközvetítés, utazásszervezés, egyéb foglalás",1674,1636,33,5,0,0,0,3704,2.2126642771804064,240007.0,238928.0,0.995504297791314,0.0508633807055393,0.0613432573329208,3720.7272818589718,2.222656679724595
N_80,N,Adminisztratív és szolgáltatást támogató tevékenység,80,"Biztonsági, nyomozói tevékenység",2641,2351,94,82,47,67,0,40940,15.501703900037864,240007.0,238928.0,0.995504297791314,0.0508633807055393,0.0613432573329208,41124.88523739371,15.571709669592469
N_81,N,Adminisztratív és szolgáltatást támogató tevékenység,81,"Építmény üzemeltetés, zöldterület-kezelés",17110,16281,431,210,134,54,0,70873,4.142197545295149,240007.0,238928.0,0.995504297791314,0.0508633807055393,0.0613432573329208,71193.06280971676,4.1609037293814595
N_82,N,Adminisztratív és szolgáltatást támogató tevékenység,82,"Adminisztratív-, kiegészítő egyéb üzleti szolgáltatás",18088,17586,279,140,60,17,6,40985,2.2658668730650153,240007.0,238928.0,0.995504297791314,0.0508633807055393,0.0613432573329208,41170.08845761068,2.276099538788737
O_84,O,"Közigazgatás, védelem; kötelező társadalombiztosítás",84,"Közigazgatás, védelem; kötelező társadalombiztosítás",229,51,0,0,0,27,151,325673,1422.1528384279477,424830.0,325673.0,0.76659605018478,0.090031915840514,0.0836144890736302,424829.9999999999,1855.152838427947
P_85,P,Oktatás,85,Oktatás,37125,35783,388,300,381,273,0,289684,7.802936026936027,327689.0,289684.0,0.884021129790747,0.0694453510106683,0.0743745402683228,327688.9999999999,8.826639730639727
Q_86,Q,"Humán-egészségügyi, szociális ellátás",86,Humán-egészségügyi ellátás,33653,32472,825,259,87,5,5,184026,5.468338632514189,332688.0,290796.0,0.874080219304574,0.0705047619451285,0.0746600392561108,210536.74014773234,6.256106146487158
